['Time', '0: 2004-12-01', '1: 2008-09-05', '2: 2008-12-11', '3: 2009-01-14', '4: 2009-03-19', '5: 2010-09-15', '6: 2011-01-20', '7: 2012-03-06', '8: 2012-10-09', '9: 2012-11-14', '10: 2012-12-12', '11: 2013-12-12', '12: 2014-03-24', '13: 2015-05-27', '14: 2016-05-26', '15: 2017-09-15', '16: 2017-09-22', '17: 2018-02-19', '18: 2019-01-08', '19: 2019-05-22', '20: 2019-08-13', '21: 2021-04-06', '22: 2021-07-10', '23: 2021-08-15', '24: 2022-01-03', '25: 2022-05-25', '26: 2024-01-25', '27: 2024-02-09', '28: 2024-02-23', '29: 2024-02-28', '30: 2024-03-08', '31: 2024-12-26', '32: 1994-07-02', '33: 1997-08-13', '34: 1997-11-16', '35: 2021-02-20', '36: 2017-01-31', '37: 2018-10-10', '38: 2018-04-15', '39: 2018-01-28', '40: 2016-10-05', '41: 2016-01-28', '42: 2015-11-04', '43: 2015-03-27', '44: 2015-03-16', '45: 2011-12-07', 'Count']
['2000-03-11 10:11:59', '0', '1', '2', '3', "(H7,250.551,(r)) (Mean_Node,130.598,(d)) (trine,2.84')", "(Venus,327.457,(r)) (POF,147.394,(d)) (opposition,3.76')", '6', '7', '8', '9', '10', '11', "(Jupiter,34.733,(r)) (H4,154.736,(c)) (trine,0.18')", '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', "(Mars,21.395,(r)) (H3,111.412,(c)) (square,1.04')", "(Mars,21.395,(r)) (H3,111.373,(c)) (square,1.30')", '28', '29', '30', '31', '32', "(Pluto,252.897,(r)) (H1,72.760,(d)) (opposition,8.24')", "(Uranus,318.704,(r)) (POF,138.593,(d)) (opposition,6.64')\n(Pluto,252.897,(r)) (H3,132.807,(c)) (trine,5.39')", "(Venus,327.457,(r)) (H4,147.583,(c)) (opposition,7.59')", "(Mercury,333.401,(r)) (H3,153.454,(d)) (opposition,3.19')\n(H1,70.551,(r)) (Moon,70.687,(d)) (conjunction,8.17')", '37', "(Jupiter,34.733,(r)) (H3,154.793,(d)) (trine,3.65')\n(H1,70.551,(r)) (Sun,10.492,(d)) (sextile,3.53')", '39', "(H1,70.551,(r)) (Moon,70.406,(d)) (conjunction,8.70')\n(H3,135.217,(r)) (Mercury,315.068,(c)) (opposition,8.94')", "(Mercury,333.401,(r)) (POF,153.300,(d)) (opposition,6.08')\n(H10,349.578,(r)) (Mercury,349.740,(d)) (conjunction,9.75')", "(H10,349.578,(r)) (Mercury,349.482,(d)) (conjunction,5.72')\n(POF,136.157,(r)) (Mercury,316.004,(c)) (opposition,9.18')", '43', '44', '45', 19]
['2000-03-11 09:24:39', "(Moon,56.293,(r)) (H1,56.286,(c)) (conjunction,0.40')", '1', '2', '3', "(H3,122.939,(r)) (Moon,62.997,(d)) (sextile,3.46')", '5', '6', '7', '8', '9', "(Uranus,318.702,(r)) (POF,138.585,(d)) (opposition,7.04')", '11', "(H4,156.823,(r)) (Sun,336.662,(c)) (opposition,9.70')", '13', '14', "(Uranus,318.702,(r)) (H10,318.864,(c)) (conjunction,9.71')", "(Uranus,318.702,(r)) (H10,318.845,(c)) (conjunction,8.55')", '17', '18', '19', "(H1,60.297,(r)) (Saturn,60.226,(d)) (conjunction,4.28')", '21', '22', '23', '24', "(POF,125.476,(r)) (Venus,305.448,(c)) (opposition,1.66')", '26', '27', '28', '29', '30', "(H3,122.939,(r)) (Venus,302.939,(c)) (opposition,0.04')", "(Pluto,252.897,(r)) (H10,342.822,(d)) (square,4.53')", '33', '34', "(Venus,327.416,(r)) (POF,147.352,(d)) (opposition,3.83')", "(H10,336.823,(r)) (Uranus,336.890,(d)) (conjunction,4.02')", '37', '38', '39', '40', "(H3,122.939,(r)) (Uranus,303.052,(c)) (opposition,6.76')", '42', '43', '44', '45', 13]
['2000-03-11 11:59:36', '0', '1', '2', '3', '4', "(H3,165.272,(r)) (Jupiter,45.230,(d)) (trine,2.52')\n(Mercury,333.374,(r)) (H3,153.409,(c)) (opposition,2.13')", "(Moon,57.800,(r)) (H3,177.771,(d)) (trine,1.75')", '7', '8', '9', '10', '11', "(Mercury,333.374,(r)) (H4,213.457,(d)) (trine,4.99')", '13', "(Neptune,305.688,(r)) (H10,35.674,(d)) (square,0.89')", '15', '16', "(Uranus,318.708,(r)) (H7,258.678,(c)) (sextile,1.76')", '18', "(POF,161.297,(r)) (Uranus,341.334,(d)) (opposition,2.19')", '20', '21', '22', '23', '24', '25', "(Saturn,43.340,(r)) (H10,43.382,(d)) (conjunction,2.52')", "(Saturn,43.340,(r)) (H10,43.422,(d)) (conjunction,4.97')\n(Uranus,318.708,(r)) (H3,138.846,(c)) (opposition,8.30')", '28', "(Uranus,318.708,(r)) (H3,138.792,(c)) (opposition,5.05')", '30', '31', '32', "(Mars,21.451,(r)) (H4,201.568,(d)) (opposition,7.05')\n(H4,198.852,(r)) (Mars,18.816,(c)) (opposition,2.19')", "(H7,274.718,(r)) (Mercury,334.626,(d)) (sextile,5.56')", '35', '36', '37', '38', "(Uranus,318.708,(r)) (H1,78.731,(c)) (trine,1.38')", '40', "(Venus,327.549,(r)) (H3,147.491,(c)) (opposition,3.48')", '42', '43', '44', '45', 16]
['2000-03-11 12:58:31', '0', '1', '2', "(Saturn,43.343,(r)) (H4,223.341,(d)) (opposition,0.13')", "(Pluto,252.898,(r)) (H3,192.935,(d)) (sextile,2.24')", '5', '6', '7', "(Mars,21.481,(r)) (H10,21.391,(c)) (conjunction,5.39')", '9', '10', '11', "(Uranus,318.710,(r)) (H3,198.650,(d)) (trine,3.62')\n(H7,289.090,(r)) (Jupiter,49.082,(d)) (trine,0.49')", '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', "(Mercury,333.359,(r)) (H12,63.451,(c)) (square,5.48')", '28', '29', '30', "(H1,109.090,(r)) (Uranus,349.178,(d)) (trine,5.28')", '32', "(H8,325.567,(r)) (Venus,325.393,(c)) (conjunction,10.41')", "(H4,214.431,(r)) (Mercury,334.477,(d)) (trine,2.76')", '35', "(Sun,351.262,(r)) (H10,51.247,(d)) (sextile,0.92')", '37', '38', '39', '40', '41', '42', "(Jupiter,34.756,(r)) (H1,94.669,(c)) (sextile,5.26')\n(Uranus,318.710,(r)) (H10,18.796,(c)) (sextile,5.19')", "(Jupiter,34.756,(r)) (H1,94.696,(c)) (sextile,3.59')", '45', 13]
['2000-03-11 14:36:56', '0', '1', '2', '3', '4', '5', "(Uranus,318.713,(r)) (H3,198.798,(c)) (trine,5.09')", '7', "(H3,210.926,(r)) (Saturn,31.105,(c)) (opposition,10.76')", '9', '10', '11', '12', "(H4,239.054,(r)) (Pluto,239.230,(c)) (conjunction,10.55')", "(Saturn,43.350,(r)) (H10,43.314,(c)) (conjunction,2.17')", '15', '16', "(H4,239.054,(r)) (Uranus,299.115,(c)) (sextile,3.65')", '18', '19', '20', "(Pluto,252.898,(r)) (H7,342.964,(d)) (square,3.95')", '22', '23', '24', '25', '26', '27', '28', '29', '30', "(Jupiter,34.770,(r)) (H10,34.669,(c)) (conjunction,6.10')", '32', "(Mars,21.532,(r)) (POF,201.367,(c)) (opposition,9.87')\n(Saturn,43.350,(r)) (H1,133.276,(c)) (square,4.41')", "(Mean_Node,121.328,(r)) (H4,241.247,(d)) (trine,4.87')", '35', '36', '37', '38', '39', "(H3,210.926,(r)) (Sun,330.930,(c)) (trine,0.21')", '41', '42', "(Moon,59.332,(r)) (H1,119.390,(c)) (sextile,3.48')", "(Moon,59.332,(r)) (H1,119.422,(c)) (sextile,5.40')", '45', 13]
['2000-03-11 15:16:47', "(Jupiter,34.776,(r)) (H1,154.790,(d)) (trine,0.87')", '1', '2', '3', '4', '5', '6', '7', "(Saturn,43.353,(r)) (H1,133.435,(c)) (square,4.92')", '9', '10', '11', '12', '13', "(H1,148.732,(r)) (Pluto,238.811,(c)) (square,4.73')", "(Moon,59.720,(r)) (H3,239.721,(d)) (opposition,0.04')", '16', '17', "(H10,68.561,(r)) (Mercury,308.514,(c)) (trine,2.83')", '19', "(Neptune,305.692,(r)) (H1,125.654,(c)) (opposition,2.31')", '21', '22', '23', "(Moon,59.720,(r)) (POF,239.739,(d)) (opposition,1.12')", '25', '26', '27', "(POF,217.094,(r)) (Moon,37.185,(c)) (opposition,5.45')", "(POF,217.094,(r)) (Moon,37.171,(c)) (opposition,4.60')", "(POF,217.094,(r)) (Moon,37.145,(c)) (opposition,3.06')", "(Moon,59.720,(r)) (H1,119.803,(c)) (sextile,4.98')", "(Saturn,43.353,(r)) (POF,223.205,(d)) (opposition,8.85')\n(H10,68.561,(r)) (Pluto,248.602,(c)) (opposition,2.48')", '33', '34', '35', "(H10,68.561,(r)) (Venus,308.544,(c)) (trine,1.03')", '37', "(H3,221.852,(r)) (Uranus,341.875,(d)) (trine,1.40')\n(Sun,351.358,(r)) (H10,51.421,(c)) (sextile,3.74')\n(H1,148.732,(r)) (Sun,328.577,(c)) (opposition,9.31')", "(H1,148.732,(r)) (Sun,328.833,(c)) (opposition,6.03')", '40', '41', '42', '43', '44', '45', 18]
['2000-03-11 09:29:20', '0', '1', '2', '3', '4', '5', '6', "(Uranus,318.702,(r)) (POF,138.879,(d)) (opposition,10.60')", "(H10,338.069,(r)) (Sun,338.115,(c)) (conjunction,2.76')", '9', '10', "(Pluto,252.897,(r)) (H1,73.042,(d)) (opposition,8.67')", "(Uranus,318.702,(r)) (H3,138.564,(d)) (opposition,8.33')", '13', '14', '15', "(Mars,21.373,(r)) (H12,21.316,(c)) (conjunction,3.40')", "(H4,158.069,(r)) (Uranus,338.083,(d)) (opposition,0.88')", "(Uranus,318.702,(r)) (H10,318.737,(c)) (conjunction,2.05')", '19', '20', "(Saturn,43.330,(r)) (H7,223.385,(c)) (opposition,3.30')", "(Saturn,43.330,(r)) (H1,43.162,(c)) (conjunction,10.04')", '23', '24', "(Venus,327.420,(r)) (H9,327.348,(d)) (conjunction,4.31')", '26', '27', '28', '29', '30', '31', '32', '33', "(POF,126.526,(r)) (H3,126.450,(d)) (conjunction,4.55')\n(H3,124.124,(r)) (POF,124.206,(c)) (conjunction,4.93')", "(Saturn,43.330,(r)) (H1,43.490,(c)) (conjunction,9.62')\n(Pluto,252.897,(r)) (H8,252.787,(c)) (conjunction,6.64')\n(POF,126.526,(r)) (Venus,306.643,(c)) (opposition,7.04')", '36', '37', "(H10,338.069,(r)) (Uranus,338.248,(d)) (conjunction,10.74')", "(H10,338.069,(r)) (Uranus,338.017,(d)) (conjunction,3.07')", '40', '41', '42', '43', '44', "(Uranus,318.702,(r)) (POF,138.619,(d)) (opposition,5.00')", 18]
['2000-03-11 15:20:47', '0', '1', '2', '3', "(H3,222.925,(r)) (Mercury,342.883,(d)) (trine,2.51')\n(Mercury,333.325,(r)) (H3,213.262,(c)) (trine,3.75')\n(Uranus,318.715,(r)) (H7,318.852,(c)) (conjunction,8.22')", "(Moon,59.759,(r)) (H10,59.665,(c)) (conjunction,5.65')", "(H3,222.925,(r)) (Venus,342.888,(d)) (trine,2.22')", '7', '8', '9', '10', '11', "(Venus,327.722,(r)) (H3,207.752,(c)) (trine,1.84')", "(Mars,21.555,(r)) (POF,201.521,(c)) (opposition,1.99')", "(Sun,351.361,(r)) (H1,171.440,(d)) (opposition,4.73')", '15', '16', "(H4,249.503,(r)) (Mercury,309.451,(c)) (sextile,3.12')", '18', '19', "(Mars,21.555,(r)) (H9,21.731,(c)) (conjunction,10.59')", '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', "(POF,218.421,(r)) (Saturn,38.403,(c)) (opposition,1.11')", '33', '34', '35', "(H1,150.023,(r)) (Sun,329.987,(c)) (opposition,2.19')", "(H3,222.925,(r)) (Mean_Node,102.947,(c)) (trine,1.32')", "(Mean_Node,121.326,(r)) (H3,241.290,(d)) (trine,2.18')", "(H10,69.503,(r)) (Mercury,309.520,(c)) (trine,0.98')", "(Moon,59.759,(r)) (H3,239.792,(d)) (opposition,2.01')", '41', '42', '43', '44', '45', 16]
['2000-03-11 15:00:31', '0', "(Saturn,43.352,(r)) (H7,313.383,(c)) (square,1.91')", '2', "(Pluto,252.898,(r)) (H4,252.907,(d)) (conjunction,0.55')\n(POF,211.777,(r)) (Mars,31.840,(d)) (opposition,3.78')", '4', '5', '6', '7', '8', '9', "(H10,64.709,(r)) (Uranus,304.747,(c)) (trine,2.30')", '11', "(Sun,351.347,(r)) (H4,231.346,(c)) (trine,0.06')", "(Neptune,305.692,(r)) (H1,125.739,(c)) (opposition,2.80')\n(H8,3.495,(r)) (Mars,3.598,(c)) (conjunction,6.21')", '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', "(Uranus,318.714,(r)) (H12,138.744,(d)) (opposition,1.79')", "(Uranus,318.714,(r)) (H12,138.790,(d)) (opposition,4.56')", '28', '29', "(Uranus,318.714,(r)) (H6,318.876,(d)) (conjunction,9.69')", "(H1,143.562,(r)) (Moon,83.615,(d)) (sextile,3.15')", '32', '33', "(Jupiter,34.774,(r)) (H3,214.946,(c)) (opposition,10.35')", '35', "(Uranus,318.714,(r)) (H3,198.765,(c)) (trine,3.05')", '37', '38', '39', '40', '41', '42', '43', '44', '45', 13]
['2000-03-11 14:01:28', '0', '1', '2', '3', '4', '5', '6', '7', '8', "(Jupiter,34.765,(r)) (H9,34.917,(d)) (conjunction,9.10')", "(POF,193.627,(r)) (Venus,313.662,(c)) (trine,2.09')", '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', "(H1,125.946,(r)) (Mercury,306.003,(c)) (opposition,3.41')", '26', '27', '28', '29', '30', "(H10,50.385,(r)) (Uranus,350.453,(d)) (sextile,4.07')", '32', '33', '34', '35', '36', "(Jupiter,34.765,(r)) (POF,214.708,(d)) (opposition,3.42')", "(POF,193.627,(r)) (Sun,13.579,(d)) (opposition,2.86')", '39', '40', '41', "(Jupiter,34.765,(r)) (H10,34.795,(c)) (conjunction,1.80')", "(H10,50.385,(r)) (Mercury,350.318,(d)) (sextile,4.00')", '44', "(H1,125.946,(r)) (Uranus,306.001,(c)) (opposition,3.26')", 9]
['2000-03-11 10:47:11', '0', '1', '2', '3', "(Jupiter,34.738,(r)) (H3,154.658,(d)) (trine,4.74')", "(Venus,327.487,(r)) (H1,87.538,(d)) (trine,3.04')\n(H3,144.739,(r)) (Jupiter,24.788,(c)) (trine,2.91')", '6', '7', '8', '9', '10', '11', '12', "(Pluto,252.897,(r)) (H4,162.917,(c)) (square,1.19')", '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', "(H10,359.177,(r)) (Mercury,359.038,(d)) (conjunction,8.35')", "(H10,359.177,(r)) (Mercury,359.085,(d)) (conjunction,5.54')", '28', "(Sun,351.171,(r)) (POF,171.094,(d)) (opposition,4.61')\n(H4,179.177,(r)) (Mercury,359.143,(d)) (opposition,2.05')", '30', "(H1,78.270,(r)) (Moon,78.333,(d)) (conjunction,3.78')\n(Moon,57.096,(r)) (H1,57.069,(c)) (conjunction,1.60')\n(H3,144.739,(r)) (Sun,324.767,(c)) (opposition,1.66')", '32', '33', '34', "(Mars,21.413,(r)) (H4,201.524,(d)) (opposition,6.62')", "(Mercury,333.392,(r)) (H1,93.318,(d)) (trine,4.46')", '37', '38', '39', '40', '41', '42', '43', '44', '45', 13]
['2000-03-11 10:15:11', '0', '1', '2', '3', '4', "(Venus,327.459,(r)) (H3,147.320,(d)) (opposition,8.34')\n(POF,136.883,(r)) (Venus,316.903,(c)) (opposition,1.21')", '6', '7', '8', '9', '10', '11', "(H3,136.068,(r)) (Mean_Node,135.929,(d)) (conjunction,8.35')", "(Mean_Node,121.338,(r)) (POF,121.388,(c)) (conjunction,3.04')", '14', "(H1,71.248,(r)) (Moon,71.291,(d)) (conjunction,2.61')", "(Mercury,333.400,(r)) (H12,63.370,(d)) (square,1.78')", '17', "(H1,71.248,(r)) (Sun,11.312,(d)) (sextile,3.86')", '19', '20', '21', '22', '23', "(Venus,327.459,(r)) (H10,327.528,(c)) (conjunction,4.10')", '25', '26', '27', '28', '29', '30', "(H1,71.248,(r)) (Jupiter,11.191,(c)) (sextile,3.42')", '32', "(H1,71.248,(r)) (Pluto,251.280,(d)) (opposition,1.92')", '34', '35', "(H10,350.448,(r)) (Jupiter,50.401,(d)) (sextile,2.82')\n(Moon,56.784,(r)) (H1,56.868,(c)) (conjunction,5.00')", "(Venus,327.459,(r)) (H1,87.475,(d)) (trine,0.93')", '38', '39', "(H10,350.448,(r)) (Mercury,350.523,(d)) (conjunction,4.52')", "(Mercury,333.400,(r)) (H3,153.236,(d)) (opposition,9.87')", "(H3,136.068,(r)) (Mercury,315.968,(c)) (opposition,6.00')", '43', '44', '45', 16]
['2000-03-11 07:27:51', "(POF,99.074,(r)) (H3,99.117,(d)) (conjunction,2.54')\n(H3,94.790,(r)) (POF,94.754,(c)) (conjunction,2.20')", '1', "(Venus,327.316,(r)) (H1,27.366,(c)) (sextile,2.98')", '3', '4', '5', '6', "(Uranus,318.698,(r)) (H10,318.659,(d)) (conjunction,2.32')", '8', '9', '10', '11', '12', "(H1,34.950,(r)) (Mars,34.929,(d)) (conjunction,1.26')\n(H8,244.057,(r)) (Uranus,334.072,(d)) (square,0.94')", '14', "(Sun,351.033,(r)) (H3,111.075,(d)) (trine,2.50')", '16', '17', "(Sun,351.033,(r)) (H1,51.062,(d)) (sextile,1.74')", '19', '20', '21', '22', '23', "(Moon,55.157,(r)) (H3,115.201,(d)) (sextile,2.66')", "(H1,34.950,(r)) (Moon,34.904,(c)) (conjunction,2.79')", '26', '27', '28', "(POF,99.074,(r)) (Mean_Node,99.049,(c)) (conjunction,1.52')", '30', '31', "(H10,306.881,(r)) (Mean_Node,126.834,(d)) (opposition,2.80')\n(Mean_Node,121.344,(r)) (H10,301.428,(c)) (opposition,5.08')", '33', '34', '35', "(H3,94.790,(r)) (Sun,334.698,(c)) (trine,5.55')", "(Uranus,318.698,(r)) (H1,18.774,(c)) (sextile,4.56')", '38', "(Uranus,318.698,(r)) (H3,78.658,(c)) (trine,2.41')", "(H1,34.950,(r)) (Sun,335.007,(c)) (sextile,3.41')", "(H3,94.790,(r)) (Uranus,334.758,(d)) (trine,1.93')", '42', '43', '44', '45', 18]
['2000-03-11 13:22:31', '0', "(H4,220.604,(r)) (Mean_Node,130.685,(d)) (square,4.90')", '2', '3', "(H4,220.604,(r)) (Sun,340.562,(c)) (trine,2.49')", '5', '6', '7', '8', "(Venus,327.620,(r)) (H10,27.666,(c)) (sextile,2.76')", "(Venus,327.620,(r)) (H10,27.587,(c)) (sextile,2.01')", '11', '12', "(Sun,351.279,(r)) (H8,351.344,(d)) (conjunction,3.93')", "(Mars,21.493,(r)) (POF,201.473,(d)) (opposition,1.22')", '15', '16', '17', '18', '19', '20', '21', '22', '23', "(H1,115.307,(r)) (Venus,355.297,(d)) (trine,0.60')", "(H1,115.307,(r)) (Uranus,295.247,(c)) (opposition,3.59')", '26', '27', '28', "(H3,189.586,(r)) (Jupiter,9.716,(c)) (opposition,7.83')", '30', '31', "(Mean_Node,121.331,(r)) (H1,121.333,(d)) (conjunction,0.15')\n(H1,115.307,(r)) (Mean_Node,115.345,(c)) (conjunction,2.27')", "(Saturn,43.345,(r)) (H4,223.177,(d)) (opposition,10.10')", '34', '35', '36', "(Moon,58.607,(r)) (H10,58.731,(d)) (conjunction,7.42')", '38', '39', "(H3,189.586,(r)) (Venus,309.665,(c)) (trine,4.77')", "(Venus,327.620,(r)) (H3,207.572,(d)) (trine,2.90')\n(Sun,351.279,(r)) (H3,171.249,(c)) (opposition,1.82')", '42', '43', '44', '45', 16]
['2000-03-11 12:32:15', "(H3,174.821,(r)) (POF,174.925,(d)) (conjunction,6.24')\n(POF,169.417,(r)) (H3,169.376,(c)) (conjunction,2.45')", '1', '2', '3', "(H7,282.543,(r)) (Mercury,342.453,(d)) (sextile,5.45')", '5', '6', '7', '8', '9', '10', '11', "(Mercury,333.366,(r)) (POF,153.345,(c)) (opposition,1.24')", "(H8,317.946,(r)) (Mean_Node,138.111,(d)) (opposition,9.88')", '14', '15', '16', '17', "(Mercury,333.366,(r)) (H3,153.402,(c)) (opposition,2.17')", "(H9,354.821,(r)) (Mercury,354.698,(d)) (conjunction,7.38')", "(H9,354.821,(r)) (Mercury,354.974,(d)) (conjunction,9.15')", '21', '22', '23', '24', "(H9,354.821,(r)) (Venus,354.803,(d)) (conjunction,1.08')", '26', '27', '28', "(Venus,327.577,(r)) (H3,147.735,(c)) (opposition,9.47')", '30', '31', "(H10,27.557,(r)) (Mars,27.567,(d)) (conjunction,0.65')\n(Mars,21.467,(r)) (H10,21.610,(c)) (conjunction,8.54')", '33', '34', '35', '36', '37', '38', "(POF,169.417,(r)) (Venus,349.537,(d)) (opposition,7.17')", '40', '41', '42', '43', '44', '45', 13]
['2000-03-11 09:30:56', "(Mercury,333.412,(r)) (H4,153.552,(c)) (opposition,8.43')", '1', '2', "(H7,241.651,(r)) (Pluto,241.759,(c)) (conjunction,6.52')", '4', "(Venus,327.421,(r)) (H10,327.572,(c)) (conjunction,9.05')", '6', "(POF,126.886,(r)) (Uranus,306.857,(c)) (opposition,1.77')", '8', '9', "(H9,304.531,(r)) (Sun,4.447,(d)) (sextile,5.01')", '11', '12', "(H4,158.496,(r)) (Moon,68.423,(d)) (square,4.39')", '14', '15', '16', '17', '18', "(Uranus,318.703,(r)) (H10,318.777,(c)) (conjunction,4.46')", "(Uranus,318.703,(r)) (H10,318.550,(c)) (conjunction,9.18')", "(H7,241.651,(r)) (Saturn,61.723,(d)) (opposition,4.35')", '22', "(Saturn,43.330,(r)) (H1,43.426,(c)) (conjunction,5.77')", "(Venus,327.421,(r)) (H3,147.368,(d)) (opposition,3.21')", '25', '26', '27', '28', "(H4,158.496,(r)) (Mean_Node,98.509,(c)) (sextile,0.79')", '30', '31', "(POF,126.886,(r)) (Mean_Node,127.057,(d)) (conjunction,10.23')\n(Mean_Node,121.339,(r)) (POF,121.213,(c)) (conjunction,7.58')", '33', "(POF,126.886,(r)) (H3,126.861,(d)) (conjunction,1.49')\n(H3,124.531,(r)) (POF,124.563,(c)) (conjunction,1.89')", "(H1,61.651,(r)) (Saturn,61.616,(d)) (conjunction,2.10')", '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', 17]
['2000-03-11 09:39:19', '0', '1', '2', '3', '4', '5', '6', "(H10,340.747,(r)) (Venus,340.669,(d)) (conjunction,4.72')\n(H9,306.680,(r)) (Uranus,306.825,(c)) (conjunction,8.70')", '8', "(Venus,327.429,(r)) (H10,327.542,(c)) (conjunction,6.82')", "(Venus,327.429,(r)) (H10,327.464,(c)) (conjunction,2.10')", '11', '12', '13', '14', '15', '16', '17', "(POF,128.777,(r)) (Venus,308.665,(c)) (opposition,6.70')", '19', '20', '21', "(Uranus,318.703,(r)) (H10,318.778,(c)) (conjunction,4.49')", "(Uranus,318.703,(r)) (H10,318.679,(c)) (conjunction,1.43')", '24', '25', "(Saturn,43.330,(r)) (H1,43.161,(c)) (conjunction,10.14')", '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', "(POF,128.777,(r)) (Venus,308.909,(c)) (opposition,7.92')", '38', "(Venus,327.429,(r)) (POF,147.595,(d)) (opposition,10.01')", '40', "(Sun,351.124,(r)) (H3,111.112,(c)) (trine,0.75')", '42', '43', '44', "(Uranus,318.703,(r)) (H9,318.827,(d)) (conjunction,7.46')", 12]
['2000-03-11 08:00:24', '0', '1', "(Jupiter,34.714,(r)) (H1,34.536,(c)) (conjunction,10.64')\n(H3,102.394,(r)) (Sun,342.407,(c)) (trine,0.76')", '3', "(H7,222.061,(r)) (Sun,342.143,(c)) (trine,4.94')", "(Sun,351.056,(r)) (H1,51.027,(d)) (sextile,1.69')", '6', '7', '8', "(H10,314.967,(r)) (Venus,315.132,(c)) (conjunction,9.91')", "(H10,314.967,(r)) (Venus,315.058,(c)) (conjunction,5.45')", '11', "(Mean_Node,121.343,(r)) (H4,121.363,(c)) (conjunction,1.22')\n(H3,102.394,(r)) (Moon,42.442,(c)) (sextile,2.87')", '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', "(H10,314.967,(r)) (Jupiter,14.930,(c)) (sextile,2.18')", "(Mars,21.327,(r)) (H1,21.388,(c)) (conjunction,3.64')", "(Mars,21.327,(r)) (H1,21.352,(c)) (conjunction,1.48')", '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', "(Mercury,333.435,(r)) (H10,333.339,(d)) (conjunction,5.75')\n(H10,314.967,(r)) (Mercury,315.042,(c)) (conjunction,4.51')", '39', "(Venus,327.344,(r)) (H3,87.275,(c)) (trine,4.13')", "(Moon,55.473,(r)) (H1,55.588,(d)) (conjunction,6.85')", "(Moon,55.473,(r)) (H1,55.390,(d)) (conjunction,5.00')", '43', '44', '45', 16]
['2000-03-11 14:43:52', "(Venus,327.690,(r)) (H3,207.659,(c)) (trine,1.89')", '1', '2', '3', '4', "(H1,138.406,(r)) (Mercury,318.540,(c)) (opposition,8.08')", "(H3,212.856,(r)) (Uranus,332.915,(d)) (trine,3.53')", "(Mercury,333.334,(r)) (H1,153.347,(d)) (opposition,0.78')", '8', "(Uranus,318.714,(r)) (H9,18.736,(c)) (sextile,1.37')", "(Uranus,318.714,(r)) (H9,18.650,(c)) (sextile,3.85')", "(H10,60.724,(r)) (Pluto,240.670,(c)) (opposition,3.24')", '12', '13', '14', "(Sun,351.335,(r)) (H3,231.332,(d)) (trine,0.18')", '16', '17', '18', "(Pluto,252.898,(r)) (H1,162.814,(d)) (square,5.02')", '20', '21', '22', '23', '24', '25', '26', '27', "(Venus,327.690,(r)) (H2,207.699,(d)) (trine,0.51')", '29', '30', "(H10,60.724,(r)) (Jupiter,60.750,(d)) (conjunction,1.56')", '32', '33', "(H3,212.856,(r)) (Jupiter,32.791,(c)) (opposition,3.91')", '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', 12]
['2000-03-11 12:17:04', "(Sun,351.234,(r)) (POF,171.075,(d)) (opposition,9.50')", '1', '2', '3', '4', '5', "(Jupiter,34.750,(r)) (H10,34.753,(d)) (conjunction,0.14')", '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', "(H3,170.365,(r)) (Venus,350.439,(d)) (opposition,4.47')", '19', "(Saturn,43.341,(r)) (H10,43.371,(d)) (conjunction,1.83')", '21', '22', '23', '24', '25', '26', '27', "(Moon,57.970,(r)) (H10,357.998,(c)) (sextile,1.67')", "(Moon,57.970,(r)) (H4,177.983,(c)) (trine,0.79')", "(Moon,57.970,(r)) (H10,357.957,(c)) (sextile,0.81')", "(H10,23.526,(r)) (Sun,323.507,(c)) (sextile,1.14')", '32', '33', '34', '35', "(H1,98.863,(r)) (Uranus,338.800,(d)) (trine,3.74')", '37', '38', '39', '40', "(Venus,327.564,(r)) (POF,147.641,(c)) (opposition,4.61')", "(H3,170.365,(r)) (Mercury,350.298,(d)) (opposition,4.01')\n(H3,170.365,(r)) (Jupiter,50.287,(d)) (trine,4.70')", "(Mercury,333.370,(r)) (H3,153.314,(c)) (opposition,3.35')", "(Mercury,333.370,(r)) (H3,153.347,(c)) (opposition,1.34')", "(POF,165.599,(r)) (Mercury,345.638,(d)) (opposition,2.32')", 15]
