['Time', '0: 2009-03-19', '1: 2011-12-07', '2: 2012-03-06', '3: 2012-12-12', '4: 2013-12-12', '5: 2014-03-24', '6: 2015-05-27', '7: 2016-01-26', '8: 2016-05-27', '9: 2017-09-15', '10: 2017-09-22', '11: 2018-02-19', '12: 2019-05-22', '13: 2021-04-06', '14: 2021-07-10', '15: 2022-01-03', '16: 2022-05-25', '17: 2024-01-11', '18: 2024-03-08', '19: 2025-06-23', '20: 2025-07-24', '21: 2025-07-25', 'Count']
['2000-03-11 06:40:16', "(Venus,316.126,(c)) (H3,76.231,(c)) (trine,6.28')", "(H1,24.443,(r)) (Moon,264.166,(c)) (trine,16.68')\n(H9,263.846,(r)) (Moon,264.166,(c)) (conjunction,19.19')", '2', "(Jupiter,34.702,(r)) (H1,34.705,(p)) (conjunction,0.17')\n(Jupiter,34.702,(r)) (H9,274.532,(p)) (trine,10.25')\n(Mercury,344.372,(c)) (H10,284.253,(c)) (sextile,7.13')", "(Mercury,345.183,(c)) (H12,345.273,(c)) (conjunction,5.42')", '5', '6', '7', '8', "(Jupiter,38.456,(p)) (H1,38.488,(p)) (conjunction,1.91')\n(Jupiter,38.456,(p)) (H3,98.550,(p)) (sextile,5.60')", '10', '11', '12', '13', '14', '15', '16', "(Saturn,43.318,(r)) (H1,43.499,(p)) (conjunction,10.85')\n(Mercury,333.456,(r)) (H3,63.336,(c)) (square,7.22')", '18', '19', '20', '21', 11]
['2000-03-11 13:49:35', '0', '1', "(POF,36.282,(c)) (H10,36.152,(c)) (conjunction,7.78')", "(Moon,58.871,(r)) (H10,58.846,(p)) (conjunction,1.49')", '4', "(Mars,31.873,(p)) (H3,211.979,(p)) (opposition,6.41')\n(Mean_Node,122.073,(c)) (H3,182.235,(c)) (sextile,9.69')", "(H1,122.626,(r)) (Mars,32.733,(p)) (square,6.44')\n(POF,190.199,(r)) (Mars,10.109,(c)) (opposition,5.41')", "(H10,47.434,(r)) (Venus,347.255,(p)) (sextile,10.73')\n(Uranus,319.466,(p)) (H1,139.486,(p)) (opposition,1.15')", "(Mean_Node,122.188,(c)) (H10,32.018,(c)) (square,10.24')", "(POF,62.985,(p)) (H10,62.995,(p)) (conjunction,0.59')", '10', '11', '12', '13', '14', "(H3,197.462,(r)) (Moon,137.017,(c)) (sextile,26.65')", "(H9,17.462,(r)) (Uranus,317.497,(c)) (sextile,2.16')", "(H3,197.462,(r)) (Moon,107.577,(c)) (square,6.94')\n(H10,47.434,(r)) (Uranus,317.404,(c)) (square,1.81')", '18', "(Moon,30.688,(p)) (H1,150.287,(p)) (trine,24.03')", "(Saturn,43.347,(r)) (H3,223.227,(p)) (opposition,7.21')\n(H1,122.626,(r)) (Mean_Node,122.673,(c)) (conjunction,2.85')", '21', 17]
['2000-03-11 07:46:39', '0', "(H9,279.168,(r)) (Sun,339.285,(c)) (sextile,7.05')", "(H9,279.168,(r)) (Sun,339.038,(c)) (sextile,7.80')", "(Moon,230.370,(p)) (H9,290.208,(p)) (sextile,9.71')\n(H10,311.529,(r)) (Venus,311.569,(c)) (conjunction,2.39')", '4', "(Sun,351.046,(r)) (POF,291.198,(p)) (sextile,9.10')", '6', "(H1,39.066,(r)) (Mercury,339.093,(p)) (sextile,1.62')\n(H3,99.168,(r)) (Mercury,339.093,(p)) (trine,4.51')", '8', '9', '10', "(Moon,55.340,(r)) (H4,115.246,(c)) (sextile,5.61')", '12', "(H4,131.529,(r)) (Saturn,41.605,(c)) (square,4.51')", "(Mars,21.320,(r)) (H1,21.436,(c)) (conjunction,6.98')\n(H10,311.529,(r)) (Saturn,41.587,(c)) (square,3.47')", '15', '16', "(Mean_Node,120.080,(p)) (H3,120.105,(p)) (conjunction,1.47')\n(H10,311.529,(r)) (Saturn,41.426,(c)) (square,6.23')", "(Mean_Node,120.072,(p)) (H3,120.247,(p)) (conjunction,10.52')", "(Mean_Node,121.343,(r)) (H3,121.431,(p)) (conjunction,5.26')\n(Uranus,317.306,(c)) (H3,77.265,(c)) (trine,2.44')", "(Mean_Node,121.343,(r)) (H3,121.509,(p)) (conjunction,9.93')", "(Mean_Node,121.343,(r)) (H3,121.511,(p)) (conjunction,10.08')\n(Uranus,317.301,(c)) (H3,77.187,(c)) (trine,6.81')", 19]
['2000-03-11 10:23:51', "(Venus,327.467,(r)) (H3,147.388,(p)) (opposition,4.72')", "(H1,73.140,(r)) (Venus,312.959,(c)) (trine,10.86')", '2', '3', '4', '5', '6', '7', '8', "(Venus,327.467,(r)) (H1,87.328,(p)) (trine,8.34')\n(Mean_Node,121.337,(r)) (H3,121.397,(c)) (conjunction,3.57')", '10', '11', "(Mercury,333.398,(r)) (H10,333.498,(c)) (conjunction,6.00')", '13', '14', '15', "(Moon,56.869,(r)) (H9,296.917,(c)) (trine,2.89')\n(Jupiter,30.553,(c)) (H10,330.453,(c)) (sextile,5.98')", "(Pluto,252.794,(p)) (H3,162.665,(p)) (square,7.71')", '18', "(Sun,351.155,(r)) (POF,171.243,(c)) (opposition,5.27')\n(Venus,327.467,(r)) (H10,327.331,(c)) (conjunction,8.15')", '20', '21', 10]
['2000-03-11 06:30:00', "(Mean_Node,120.868,(p)) (H4,120.809,(p)) (conjunction,3.56')", '1', "(H9,261.500,(r)) (Moon,261.169,(c)) (conjunction,19.86')", "(Moon,252.052,(c)) (H1,11.579,(c)) (trine,28.38')\n(Venus,311.503,(c)) (H1,11.579,(c)) (sextile,4.51')", "(Pluto,252.897,(r)) (H12,342.837,(c)) (square,3.62')\n(Mars,10.974,(c)) (H10,280.997,(c)) (square,1.39')\n(Pluto,252.810,(c)) (H12,342.837,(c)) (square,1.62')", "(Mercury,333.459,(r)) (H7,213.470,(p)) (trine,0.65')", "(Mars,9.878,(c)) (H4,99.727,(c)) (square,9.03')", "(Jupiter,34.701,(r)) (H3,94.778,(p)) (sextile,4.60')\n(Sun,6.773,(p)) (H10,306.867,(p)) (sextile,5.69')", '8', "(Sun,8.392,(p)) (H10,308.330,(p)) (sextile,3.72')", '10', "(Uranus,319.542,(p)) (POF,319.615,(p)) (conjunction,4.38')\n(Moon,187.025,(c)) (H7,187.167,(c)) (conjunction,8.50')", '12', '13', '14', "(Moon,339.517,(p)) (H1,39.660,(p)) (sextile,8.56')\n(Moon,339.517,(p)) (H3,99.805,(p)) (trine,17.26')", "(Mercury,333.459,(r)) (H10,273.567,(c)) (sextile,6.50')\n(Mean_Node,122.522,(c)) (H9,242.422,(c)) (trine,6.03')", '17', '18', "(H1,22.161,(r)) (Moon,82.125,(c)) (sextile,2.18')", '20', "(Venus,295.931,(c)) (POF,116.092,(c)) (opposition,9.66')", 20]
['2000-03-11 14:18:40', "(Mean_Node,121.329,(r)) (H7,301.449,(c)) (opposition,7.20')", "(Venus,313.161,(c)) (H9,13.276,(c)) (sextile,6.87')", "(Venus,312.857,(c)) (H9,13.007,(c)) (sextile,8.99')", '3', '4', '5', "(Venus,327.668,(r)) (H1,147.845,(p)) (opposition,10.61')\n(Saturn,44.917,(p)) (POF,44.741,(p)) (conjunction,10.58')", '7', '8', '9', '10', "(H7,310.887,(r)) (Moon,191.385,(c)) (trine,29.93')", '12', "(Pluto,252.898,(r)) (H4,252.912,(p)) (conjunction,0.83')\n(Pluto,252.820,(p)) (H4,252.912,(p)) (conjunction,5.50')", '14', "(H10,54.616,(r)) (Venus,354.613,(p)) (sextile,0.21')", '16', '17', '18', "(Sun,16.379,(p)) (H10,76.488,(p)) (sextile,6.56')\n(H3,205.786,(r)) (Sun,325.918,(c)) (trine,7.93')", '20', "(Sun,16.465,(p)) (H10,76.563,(p)) (sextile,5.84')\n(H3,205.786,(r)) (Sun,325.830,(c)) (trine,2.62')\n(H3,205.786,(r)) (Moon,85.565,(c)) (trine,13.25')", 14]
['2000-03-11 08:50:07', "(Sun,0.073,(p)) (H7,239.948,(p)) (trine,7.49')\n(Moon,182.490,(p)) (H3,122.531,(p)) (sextile,2.45')", "(Mercury,343.364,(c)) (H1,43.414,(c)) (sextile,3.02')", "(Mercury,343.597,(c)) (H9,283.645,(c)) (sextile,2.90')", "(Neptune,306.020,(p)) (H9,305.982,(p)) (conjunction,2.30')", '4', '5', "(Saturn,43.327,(r)) (H4,133.249,(c)) (square,4.66')\n(Moon,223.536,(c)) (H4,133.249,(c)) (square,17.21')", '7', '8', '9', '10', "(H7,232.842,(r)) (Moon,293.003,(p)) (sextile,9.66')", '12', "(Neptune,305.685,(r)) (H7,215.685,(c)) (square,0.01')", "(Mars,5.320,(c)) (H9,275.335,(c)) (square,0.92')", "(H3,114.340,(r)) (Venus,354.332,(p)) (trine,0.50')\n(Jupiter,34.721,(r)) (H3,94.902,(c)) (sextile,10.89')", "(Jupiter,34.721,(r)) (H1,34.728,(c)) (conjunction,0.41')\n(Jupiter,34.721,(r)) (H9,274.555,(c)) (trine,9.94')", '17', "(Sun,351.090,(r)) (H10,351.058,(p)) (conjunction,1.90')\n(POF,117.709,(r)) (Venus,297.753,(c)) (opposition,2.66')", "(H10,327.713,(r)) (Moon,27.765,(p)) (sextile,3.10')", '20', '21', 17]
['2000-03-11 05:36:39', "(Jupiter,32.903,(c)) (H4,92.787,(c)) (sextile,6.99')", "(Uranus,319.266,(p)) (H9,259.096,(p)) (sextile,10.21')", "(Uranus,319.277,(p)) (H9,259.300,(p)) (sextile,1.36')", '3', '4', "(Uranus,317.940,(c)) (POF,257.880,(c)) (sextile,3.60')", '6', "(Moon,54.077,(r)) (H10,294.006,(p)) (trine,4.22')", '8', "(H10,280.480,(r)) (Mercury,340.566,(p)) (sextile,5.16')\n(Moon,54.077,(r)) (H3,54.189,(c)) (conjunction,6.76')", '10', '11', '12', '13', '14', '15', '16', '17', "(H10,280.480,(r)) (Moon,100.301,(c)) (opposition,10.77')", "(Uranus,318.694,(r)) (H10,258.524,(c)) (sextile,10.22')", '20', '21', 9]
['2000-03-11 10:11:59', "(Mercury,340.534,(c)) (H4,160.565,(c)) (opposition,1.89')", '1', '2', '3', '4', '5', '6', '7', '8', "(H3,135.217,(r)) (Moon,194.804,(c)) (sextile,24.74')", '10', "(H4,169.578,(r)) (Venus,349.622,(p)) (opposition,2.65')", "(H9,315.217,(r)) (Saturn,45.343,(p)) (square,7.61')", '13', '14', "(Moon,56.753,(r)) (POF,56.900,(p)) (conjunction,8.80')\n(H3,135.217,(r)) (Moon,134.821,(c)) (conjunction,23.75')", "(Venus,327.457,(r)) (H10,327.347,(c)) (conjunction,6.57')", '17', "(H1,70.551,(r)) (Moon,10.575,(p)) (sextile,1.47')\n(Sun,351.147,(r)) (H1,51.045,(c)) (sextile,6.11')", "(H10,349.578,(r)) (Mercury,349.730,(p)) (conjunction,9.14')\n(Sun,351.147,(r)) (H3,111.091,(c)) (trine,3.33')\n(Moon,84.352,(c)) (H10,324.250,(c)) (trine,6.08')", '20', "(Sun,351.147,(r)) (H3,111.009,(c)) (trine,8.29')", 13]
['2000-03-11 09:24:39', "(H3,122.939,(r)) (Moon,182.813,(p)) (sextile,7.57')", "(H9,302.939,(r)) (Sun,2.795,(p)) (sextile,8.69')\n(Moon,265.518,(c)) (H10,325.378,(c)) (sextile,8.39')", "(H9,302.939,(r)) (Sun,3.039,(p)) (sextile,5.97')", "(Sun,351.114,(r)) (H9,291.222,(c)) (sextile,6.51')", '4', '5', '6', '7', '8', "(Uranus,319.529,(p)) (H3,139.616,(p)) (opposition,5.22')\n(Mercury,347.026,(c)) (H3,106.893,(c)) (trine,7.98')", '10', '11', '12', "(Saturn,43.329,(r)) (H7,223.226,(c)) (opposition,6.21')", '14', "(H1,60.297,(r)) (Venus,300.468,(c)) (trine,10.25')", '16', "(Moon,104.887,(c)) (H12,15.325,(c)) (square,26.29')", '18', "(Venus,327.416,(r)) (H3,147.362,(p)) (opposition,3.23')", '20', "(Venus,327.416,(r)) (H3,147.451,(p)) (opposition,2.09')", 12]
['2000-03-11 11:59:36', '0', "(Moon,57.800,(r)) (H9,357.795,(p)) (sextile,0.30')", "(Jupiter,32.391,(c)) (H9,332.537,(c)) (sextile,8.76')", '3', '4', "(H3,165.272,(r)) (Mercury,345.226,(c)) (opposition,2.75')\n(Mercury,345.226,(c)) (POF,345.122,(c)) (conjunction,6.22')", "(H8,308.835,(r)) (Venus,308.757,(c)) (conjunction,4.68')", '7', '8', '9', '10', "(POF,161.297,(r)) (Mercury,341.265,(p)) (opposition,1.92')", '12', '13', "(Mercury,346.706,(c)) (H1,76.616,(c)) (square,5.39')", "(Venus,354.494,(p)) (H1,114.370,(p)) (trine,7.42')\n(Moon,135.907,(c)) (H1,76.206,(c)) (sextile,17.92')", '16', "(H3,165.272,(r)) (Mercury,345.218,(c)) (opposition,3.22')", "(H3,165.272,(r)) (Mercury,345.094,(c)) (opposition,10.65')", "(Moon,57.800,(r)) (H1,117.725,(p)) (sextile,4.52')\n(Uranus,318.708,(r)) (H3,138.537,(c)) (opposition,10.22')", '20', "(Moon,57.800,(r)) (H1,117.811,(p)) (sextile,0.63')", 14]
['2000-03-11 12:58:31', "(H4,214.431,(r)) (Mercury,334.290,(p)) (trine,8.49')", '1', '2', '3', "(H3,182.544,(r)) (POF,2.679,(p)) (opposition,8.11')\n(Pluto,252.898,(r)) (H12,73.044,(c)) (opposition,8.76')\n(H3,182.544,(r)) (POF,2.445,(c)) (opposition,5.94')", '5', '6', "(Uranus,319.465,(p)) (H3,199.405,(p)) (trine,3.62')\n(Jupiter,34.756,(r)) (H1,94.683,(c)) (sextile,4.41')\n(Uranus,318.710,(r)) (H10,18.813,(c)) (sextile,6.16')", '8', "(H1,109.090,(r)) (Venus,349.233,(p)) (trine,8.60')\n(Mercury,333.359,(r)) (H1,93.229,(c)) (trine,7.83')", "(H10,34.431,(r)) (Mars,34.407,(p)) (conjunction,1.45')", '11', '12', '13', '14', "(Venus,354.544,(p)) (H10,54.432,(p)) (sextile,6.74')\n(Sun,329.363,(c)) (H1,89.423,(c)) (trine,3.57')", "(H9,2.544,(r)) (Mean_Node,122.508,(c)) (trine,2.15')", '17', "(Venus,327.600,(r)) (H1,87.501,(c)) (trine,5.89')", "(Jupiter,34.756,(r)) (H3,154.854,(c)) (trine,5.89')\n(Moon,86.025,(c)) (H1,86.361,(c)) (conjunction,20.20')", "(H3,182.544,(r)) (Mars,2.383,(c)) (opposition,9.66')", "(Jupiter,34.756,(r)) (H3,154.758,(c)) (trine,0.08')", 18]
['2000-03-11 14:36:56', "(Mars,21.532,(r)) (H3,201.492,(c)) (opposition,2.37')", "(Uranus,318.713,(r)) (H9,18.571,(c)) (sextile,8.54')", '2', "(Venus,343.441,(p)) (H9,43.621,(p)) (sextile,10.82')\n(H1,136.303,(r)) (Moon,256.076,(c)) (trine,13.62')", '4', "(Venus,345.020,(p)) (H3,224.857,(p)) (trine,9.78')\n(Mean_Node,121.328,(r)) (H7,301.307,(c)) (opposition,1.25')", "(H1,136.303,(r)) (Moon,226.521,(c)) (square,13.05')", "(H3,210.926,(r)) (Moon,271.386,(p)) (sextile,27.62')\n(Moon,59.332,(r)) (H1,119.408,(c)) (sextile,4.59')", "(Pluto,252.898,(r)) (H10,73.054,(p)) (opposition,9.38')", '9', '10', "(Moon,191.555,(c)) (H3,191.772,(c)) (conjunction,13.03')", "(Uranus,319.609,(p)) (H9,49.787,(p)) (square,10.69')\n(Uranus,318.713,(r)) (POF,318.572,(c)) (conjunction,8.46')", '13', "(Neptune,306.211,(p)) (POF,126.317,(p)) (opposition,6.38')", '15', '16', "(Mars,21.532,(r)) (H1,111.358,(c)) (square,10.45')", "(Uranus,319.802,(p)) (H10,79.631,(p)) (trine,10.26')\n(Sun,351.331,(r)) (H1,111.202,(c)) (trine,7.71')", "(H1,136.303,(r)) (Sun,16.391,(p)) (trine,5.28')\n(H3,210.926,(r)) (Moon,31.151,(p)) (opposition,13.47')\n(H10,59.054,(r)) (Venus,358.911,(p)) (sextile,8.61')", '20', "(H1,136.303,(r)) (Sun,16.478,(p)) (trine,10.46')\n(H10,59.054,(r)) (Venus,359.019,(p)) (sextile,2.12')", 22]
['2000-03-11 15:16:47', "(Uranus,318.239,(c)) (H7,318.284,(c)) (conjunction,2.73')", "(Uranus,318.715,(r)) (H10,78.553,(p)) (trine,9.73')\n(H9,41.852,(r)) (Moon,221.560,(p)) (opposition,17.52')\n(H1,148.732,(r)) (Moon,268.413,(c)) (trine,19.17')", "(Uranus,318.715,(r)) (H10,78.760,(p)) (trine,2.71')", "(Moon,234.225,(p)) (H9,54.047,(p)) (opposition,10.69')\n(Uranus,319.331,(p)) (H10,79.407,(p)) (trine,4.56')", '4', '5', '6', '7', "(Mars,9.398,(c)) (POF,9.507,(c)) (conjunction,6.52')", '9', '10', "(Mercury,347.065,(c)) (POF,346.906,(c)) (conjunction,9.51')", "(H9,41.852,(r)) (Saturn,41.754,(c)) (conjunction,5.86')", "(POF,217.094,(r)) (Mars,37.056,(p)) (opposition,2.27')\n(Neptune,305.014,(c)) (H7,304.949,(c)) (conjunction,3.87')", "(POF,217.094,(r)) (Mars,37.245,(p)) (opposition,9.08')", '15', "(Uranus,318.715,(r)) (H9,18.609,(c)) (sextile,6.35')", '17', "(Moon,106.187,(c)) (H10,46.701,(c)) (sextile,30.84')", "(Moon,59.720,(r)) (H1,179.856,(p)) (trine,8.18')", '20', '21', 16]
['2000-03-11 09:29:20', '0', "(H10,338.069,(r)) (Moon,218.515,(p)) (trine,26.77')\n(H10,338.069,(r)) (POF,338.109,(c)) (conjunction,2.43')", '2', '3', '4', "(Sun,351.117,(r)) (H3,111.187,(c)) (trine,4.18')", '6', "(H10,338.069,(r)) (Jupiter,38.119,(p)) (sextile,3.01')", '8', "(Mercury,347.025,(c)) (H1,47.191,(c)) (sextile,9.96')", '10', '11', '12', '13', '14', "(Uranus,318.702,(r)) (H1,78.606,(p)) (trine,5.81')", '16', '17', "(Venus,327.420,(r)) (H3,147.350,(p)) (opposition,4.23')", "(Moon,28.147,(p)) (H3,148.661,(p)) (trine,30.84')", "(Saturn,43.330,(r)) (H10,313.309,(c)) (square,1.22')", '21', 9]
['2000-03-11 15:20:47', '0', "(H9,42.925,(r)) (Mercury,343.101,(c)) (sextile,10.58')", "(Moon,224.695,(p)) (H1,164.560,(p)) (sextile,8.11')", '3', '4', '5', '6', "(POF,218.421,(r)) (Moon,218.603,(c)) (conjunction,10.92')", '8', "(Sun,351.361,(r)) (H1,171.444,(p)) (opposition,5.00')\n(POF,218.421,(r)) (Jupiter,38.537,(p)) (opposition,6.92')\n(Moon,291.109,(p)) (H1,171.444,(p)) (trine,20.10')", '10', "(Moon,59.759,(r)) (H3,239.831,(p)) (opposition,4.31')", '12', '13', "(Neptune,305.692,(r)) (H1,125.795,(c)) (opposition,6.15')", '15', "(Mercury,333.325,(r)) (POF,153.344,(p)) (opposition,1.16')", '17', "(Moon,59.759,(r)) (H1,179.609,(p)) (trine,9.01')", "(Sun,16.421,(p)) (POF,196.404,(p)) (opposition,1.05')\n(H1,150.023,(r)) (Jupiter,30.074,(c)) (trine,3.03')", "(Mean_Node,121.326,(r)) (H1,121.445,(c)) (conjunction,7.11')", "(H1,150.023,(r)) (Jupiter,30.060,(c)) (trine,2.17')", 14]
['2000-03-11 15:00:31', "(Mercury,334.333,(p)) (H7,334.151,(p)) (conjunction,10.89')", "(Jupiter,37.260,(p)) (H1,157.424,(p)) (trine,9.84')", "(H9,37.445,(r)) (Jupiter,37.314,(p)) (conjunction,7.86')\n(Moon,265.370,(c)) (H9,25.064,(c)) (trine,18.33')", "(H9,37.445,(r)) (Jupiter,37.482,(p)) (conjunction,2.23')", "(POF,211.777,(r)) (Mars,31.704,(p)) (opposition,4.38')", "(H3,217.445,(r)) (Sun,337.283,(c)) (trine,9.68')", '6', "(POF,211.777,(r)) (Jupiter,31.697,(c)) (opposition,4.82')", "(Pluto,252.898,(r)) (H1,162.883,(p)) (square,0.87')\n(Pluto,252.859,(p)) (H1,162.883,(p)) (square,1.44')\n(Neptune,305.692,(r)) (H1,125.587,(c)) (opposition,6.32')", "(Uranus,319.539,(p)) (H10,79.640,(p)) (trine,6.03')", "(Uranus,318.714,(r)) (H10,48.825,(c)) (square,6.62')", "(Uranus,318.714,(r)) (H3,198.621,(c)) (trine,5.58')", '12', '13', '14', "(Moon,59.562,(r)) (H1,119.664,(c)) (sextile,6.13')", '16', '17', '18', "(Mean_Node,121.327,(r)) (H3,241.441,(p)) (trine,6.81')\n(POF,211.777,(r)) (Moon,31.381,(p)) (opposition,23.73')", "(Saturn,41.350,(c)) (H10,41.245,(c)) (conjunction,6.27')", '21', 18]
['2000-03-11 14:01:28', '0', '1', "(Mercury,333.344,(r)) (H9,33.211,(p)) (sextile,8.00')\n(Uranus,318.712,(r)) (H1,138.795,(p)) (opposition,4.97')", '3', "(Mars,21.514,(r)) (POF,21.574,(p)) (conjunction,3.63')", "(Sun,337.242,(c)) (H4,217.227,(c)) (trine,0.91')", '6', "(Sun,335.389,(c)) (H10,35.431,(c)) (sextile,2.52')", "(Neptune,305.180,(c)) (H10,35.103,(c)) (square,4.57')", "(H10,50.385,(r)) (Moon,290.457,(p)) (trine,4.32')\n(H1,125.946,(r)) (Venus,306.015,(c)) (opposition,4.12')\n(Sun,333.741,(c)) (H10,33.820,(c)) (sextile,4.74')", '10', "(Mercury,333.344,(r)) (H4,213.395,(c)) (trine,3.08')\n(Mean_Node,121.329,(r)) (H3,181.370,(c)) (sextile,2.46')", '12', '13', '14', "(Sun,329.408,(c)) (H10,29.522,(c)) (sextile,6.84')", "(H1,125.946,(r)) (POF,125.822,(p)) (conjunction,7.46')", '17', "(Sun,327.211,(c)) (H10,27.307,(c)) (sextile,5.76')", "(Sun,325.906,(c)) (H10,25.980,(c)) (sextile,4.42')", '20', "(Sun,325.818,(c)) (H10,25.890,(c)) (sextile,4.31')\n(Moon,85.393,(c)) (H10,25.890,(c)) (sextile,29.83')", 17]
['2000-03-11 10:47:11', "(H7,258.270,(r)) (Uranus,318.228,(c)) (sextile,2.52')", "(Venus,312.979,(c)) (H9,313.018,(c)) (conjunction,2.33')", "(Venus,312.675,(c)) (H9,312.775,(c)) (conjunction,5.99')", '3', '4', "(Mars,10.899,(c)) (H3,130.756,(c)) (trine,8.59')", '6', '7', "(Pluto,252.897,(r)) (H10,342.766,(c)) (square,7.86')\n(Sun,334.917,(c)) (H1,65.089,(c)) (square,10.37')\n(Pluto,252.785,(c)) (H10,342.766,(c)) (square,1.10')\n(Mean_Node,122.195,(c)) (POF,302.163,(c)) (opposition,1.95')", '9', '10', '11', "(Neptune,305.687,(r)) (H9,305.693,(c)) (conjunction,0.33')", '13', '14', "(Venus,300.539,(c)) (H1,60.463,(c)) (trine,4.58')", "(Venus,300.059,(c)) (H1,60.139,(c)) (trine,4.80')", "(Mean_Node,121.336,(r)) (H3,121.164,(c)) (conjunction,10.35')", "(Jupiter,34.738,(r)) (H10,334.791,(c)) (sextile,3.19')", "(Sun,351.171,(r)) (H3,170.995,(p)) (opposition,10.57')\n(Mercury,333.392,(r)) (H10,333.461,(c)) (conjunction,4.11')\n(H3,144.739,(r)) (Moon,84.705,(c)) (sextile,2.05')", "(Sun,351.171,(r)) (H3,171.086,(p)) (opposition,5.13')", "(Sun,351.171,(r)) (H3,171.089,(p)) (opposition,4.95')\n(Mercury,333.392,(r)) (H10,333.370,(c)) (conjunction,1.30')", 19]
['2000-03-11 10:15:11', '0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', "(Moon,56.784,(r)) (H7,236.754,(c)) (opposition,1.82')", '12', '13', '14', '15', '16', '17', '18', "(H3,136.068,(r)) (Sun,16.213,(p)) (trine,8.67')", "(H3,136.068,(r)) (Saturn,46.057,(p)) (square,0.69')", '21', 3]
['2000-03-11 07:27:51', '0', "(Moon,264.557,(c)) (H9,264.779,(c)) (conjunction,13.31')", '2', '3', '4', '5', '6', "(H10,306.881,(r)) (Sun,6.812,(p)) (sextile,4.10')\n(H1,34.950,(r)) (Sun,335.113,(c)) (sextile,9.79')\n(H1,34.950,(r)) (Moon,214.462,(c)) (opposition,29.27')\n(H3,94.790,(r)) (Moon,214.462,(c)) (trine,19.68')", '8', "(Venus,348.950,(p)) (H1,48.839,(p)) (sextile,6.72')\n(Sun,351.033,(r)) (H10,291.183,(c)) (sextile,8.99')", "(Uranus,318.698,(r)) (H1,48.854,(p)) (square,9.32')\n(Mars,21.310,(r)) (H10,291.166,(c)) (square,8.66')", '11', "(Mars,21.310,(r)) (H9,291.316,(p)) (square,0.36')", "(H4,126.881,(r)) (Mars,36.820,(p)) (square,3.65')", "(H10,306.881,(r)) (Mars,37.009,(p)) (square,7.70')\n(H1,34.950,(r)) (Neptune,304.993,(c)) (square,2.58')\n(Mercury,346.628,(c)) (H9,256.465,(c)) (square,9.78')", '15', "(Venus,327.316,(r)) (H10,327.331,(p)) (conjunction,0.90')", "(Saturn,45.864,(p)) (POF,46.019,(p)) (conjunction,9.34')", '18', '19', "(Pluto,252.897,(r)) (H3,72.896,(c)) (opposition,0.07')", "(Moon,55.157,(r)) (H1,55.018,(p)) (conjunction,8.35')", 18]
['2000-03-11 13:22:31', "(Uranus,319.155,(p)) (H3,199.148,(p)) (trine,0.39')\n(Moon,299.813,(c)) (H3,179.798,(c)) (trine,0.86')", "(H10,40.604,(r)) (Moon,220.561,(p)) (opposition,2.59')", "(POF,29.269,(c)) (H10,29.097,(c)) (conjunction,10.32')", '3', "(H3,189.586,(r)) (POF,9.641,(p)) (opposition,3.31')", '5', "(Moon,225.882,(c)) (H8,316.161,(c)) (square,16.71')", '7', '8', '9', '10', "(H7,295.307,(r)) (Moon,295.250,(p)) (conjunction,3.45')", '12', "(Mars,5.661,(c)) (H7,275.671,(c)) (square,0.64')", "(Mars,5.464,(c)) (H1,95.436,(c)) (square,1.66')", '15', "(Jupiter,34.760,(r)) (H1,94.645,(c)) (sextile,6.87')\n(Uranus,318.711,(r)) (H10,18.770,(c)) (sextile,3.53')", '17', '18', '19', '20', '21', 11]
['2000-03-11 12:32:15', "(Moon,184.567,(p)) (H3,184.497,(p)) (conjunction,4.24')\n(Uranus,318.709,(r)) (H4,198.672,(c)) (trine,2.19')", "(H10,27.557,(r)) (Moon,267.060,(c)) (trine,29.79')", "(H1,102.543,(r)) (Venus,342.384,(p)) (trine,9.57')", "(Venus,343.334,(p)) (POF,343.196,(p)) (conjunction,8.28')\n(Moon,255.047,(c)) (H10,14.905,(c)) (trine,8.53')", '4', '5', '6', "(Moon,217.132,(c)) (H3,157.653,(c)) (sextile,31.30')", "(Mean_Node,121.333,(r)) (H8,301.427,(c)) (opposition,5.65')", '9', '10', "(H3,174.821,(r)) (Moon,294.835,(p)) (trine,0.82')", '12', '13', '14', "(H1,102.543,(r)) (Moon,342.766,(p)) (trine,13.37')", "(H9,354.821,(r)) (Venus,355.002,(p)) (conjunction,10.85')\n(Moon,347.846,(p)) (H10,48.297,(p)) (sextile,27.06')", "(Uranus,319.792,(p)) (H10,49.775,(p)) (square,1.06')\n(Mars,3.535,(c)) (H10,3.415,(c)) (conjunction,7.19')", '18', "(Sun,351.244,(r)) (H10,51.082,(p)) (sextile,9.72')\n(Venus,327.577,(r)) (H3,147.474,(c)) (opposition,6.20')", "(H3,174.821,(r)) (Moon,84.536,(c)) (square,17.08')", "(Sun,351.244,(r)) (H10,51.161,(p)) (sextile,4.98')", 18]
